teste,caracteristica,correlacao,diferenca_media_pp,percentil_95_diferenca_pp
Welch: 4096 → 2048,fracao_0_500,0.9985537827531239,0.34603331256202596,0.9183523082014615
Welch: 4096 → 2048,fracao_500_1000,0.9981016432037079,0.22714339682541454,0.5998179390696999
Welch: 4096 → 2048,fracao_1000_2000,0.9981175259415707,0.18956926312293637,0.5351337971277949
Welch: 4096 → 2048,fracao_2000_4000,0.999204877036838,0.006281226305048466,0.017633620370020944
Welch: 4096 → 2048,fracao_4000_8000,0.9780852670263914,3.356058997423765e-06,1.0329382798343742e-05
Wavelet: db4 → db6,wavelet_A6,0.9901013384628009,1.2865187940239058,2.352767622170244
Wavelet: db4 → db6,wavelet_D6,0.9936387512996286,1.9003088418265663,4.275496951840535
Wavelet: db4 → db6,wavelet_D5,0.9861278311853451,1.3825923398913702,3.500177374116174
Wavelet: db4 → db6,wavelet_D4,0.9785855579854568,0.8462177367948951,2.366283316079119
Wavelet: db4 → db6,wavelet_D3,0.9919610432951623,0.3314992571186912,1.048999601479953
Wavelet: db4 → db6,wavelet_D2,0.9902917695460249,0.3349398921307235,0.6233544761267882
Wavelet: db4 → db6,wavelet_D1,0.7792010509006684,0.018774186040802405,0.030233906960851094
