,media,desvio_padrao,fracao_0_500,fracao_500_1000,fracao_1000_2000,fracao_2000_4000,wavelet_D1,wavelet_D2,wavelet_D3,wavelet_D4,wavelet_D5,wavelet_D6
media,1.0,-0.0880162891461621,0.19041881889512252,-0.11905816182471754,-0.23079871683525133,-0.18401258318353123,-0.27959791065624207,-0.2753960236832062,-0.21620112785210888,-0.04690791190630958,0.18335460117260852,-0.018371367872060486
desvio_padrao,-0.0880162891461621,1.0,0.06123393459026816,-0.022868331496118208,-0.11925614295089071,0.571647357873234,0.3592395796016568,0.12808861190832205,-0.10123208230898809,-0.2637949045563271,-0.5075124817681298,0.4612194719100238
fracao_0_500,0.19041881889512252,0.06123393459026816,1.0,-0.9245829129520786,-0.9078869248530274,-0.48612911817690346,-0.7043724499574995,-0.7518463512198746,-0.9341901822623454,-0.7938412082590073,-0.0011592400207216442,0.6078028884361152
fracao_500_1000,-0.11905816182471754,-0.022868331496118208,-0.9245829129520786,1.0,0.6803980586439761,0.47395370115410773,0.5442061954594566,0.523850511920701,0.7375998574180284,0.8817097771281709,0.14916452584120105,-0.6666830555378745
fracao_1000_2000,-0.23079871683525133,-0.11925614295089071,-0.9078869248530274,0.6803980586439761,1.0,0.38049361615837984,0.7369096404307868,0.8629213326576579,0.9866030752146437,0.5668568388037389,-0.14368317582530404,-0.45172074929587436
fracao_2000_4000,-0.18401258318353123,0.571647357873234,-0.48612911817690346,0.47395370115410773,0.38049361615837984,1.0,0.7675472655813167,0.5003162964124322,0.4267821992758427,0.2323557233900823,-0.3652959074077274,0.013441961429666895
wavelet_D1,-0.27959791065624207,0.3592395796016568,-0.7043724499574995,0.5442061954594566,0.7369096404307868,0.7675472655813167,1.0,0.9235429257219332,0.745880308858965,0.24779968925771256,-0.4679136899481594,-0.04960300857194602
wavelet_D2,-0.2753960236832062,0.12808861190832205,-0.7518463512198746,0.523850511920701,0.8629213326576579,0.5003162964124322,0.9235429257219332,1.0,0.8523841130904283,0.2712297617524602,-0.4169630802615063,-0.13226542382432657
wavelet_D3,-0.21620112785210888,-0.10123208230898809,-0.9341901822623454,0.7375998574180284,0.9866030752146437,0.4267821992758427,0.745880308858965,0.8523841130904283,1.0,0.6156218945648706,-0.11477721926962345,-0.4918702782884678
wavelet_D4,-0.04690791190630958,-0.2637949045563271,-0.7938412082590073,0.8817097771281709,0.5668568388037389,0.2323557233900823,0.24779968925771256,0.2712297617524602,0.6156218945648706,1.0,0.507962094782304,-0.8983269642765598
wavelet_D5,0.18335460117260852,-0.5075124817681298,-0.0011592400207216442,0.14916452584120105,-0.14368317582530404,-0.3652959074077274,-0.4679136899481594,-0.4169630802615063,-0.11477721926962345,0.507962094782304,1.0,-0.7837971907895682
wavelet_D6,-0.018371367872060486,0.4612194719100238,0.6078028884361152,-0.6666830555378745,-0.45172074929587436,0.013441961429666895,-0.04960300857194602,-0.13226542382432657,-0.4918702782884678,-0.8983269642765598,-0.7837971907895682,1.0
