classe,Temporal + espectral,Com Wavelet,"Com Wavelet, sem D3"
Healthy,0.5768088162761162,0.5816488040519397,0.5719391502888272
Bearing,0.02455734043533625,0.045801333547958276,0.05061974742107673
Flywheel,-0.005415889758969027,0.0637252209904598,0.09204043445663133
LIV,0.0896820711781245,0.28851630888299606,0.30758576770633067
LOV,-0.2033491747086044,-0.18925878396741017,-0.18849706077008013
NRV,0.15965162648364917,0.2620970284748761,0.28985432127590366
Piston,0.008035405861714397,0.0276625893614134,0.03157380741347481
Riderbelt,0.3269975249040441,0.4434726362493765,0.41403578454664003
