,PC1,PC2,PC3,PC4,PC5,PC6
media,0.1740894162642315,0.1465290887803292,-0.9638740714540258,-0.13767933719506592,0.014603964329847775,-7.438804427681077e-08
desvio_padrao,-0.06063528830215936,-0.776542629710708,-0.11790621766035037,-0.14127688385879383,-0.5995363808632881,-1.4783631203659073e-07
fracao_0_500,0.5564245889025217,-0.1728537256691686,0.07623031669289301,0.0020693460074599104,0.1521326522449536,-0.7947034535799287
fracao_500_1000,-0.5131497749725089,0.1273830450086134,-0.17123176059522663,0.6605513373065145,-0.23507273952316898,-0.44670268677175456
fracao_1000_2000,-0.5018804193480569,0.21974011886580538,0.045066885320034604,-0.7238996154952476,-0.0721377894762406,-0.41056642178668895
fracao_2000_4000,-0.3757675703711466,-0.5302076950692513,-0.1410053085652498,0.026874476221621986,0.7461470731904486,-0.01839412406929421
